id,time_of_event,time_of_alert,target
01298,,,0
02097,,,0
01437,,,0
01368,,,0
01534,,,0
01492,,,0
02074,,,0
01206,,,0
01986,,,0
01728,,,0
01741,,,0
01067,,,0
02089,,,0
01824,,,0
01869,,,0
01717,,,0
01271,,,0
01535,,,0
01283,,,0
01977,,,0
01662,,,0
01333,,,0
01361,,,0
01258,,,0
01639,,,0
01789,,,0
01987,,,0
01470,,,0
01444,,,0
01435,,,0
01540,,,0
01599,,,0
01920,,,0
01288,,,0
01899,,,0
01543,,,0
01173,,,0
01990,,,0
01673,,,0
01097,,,0
01225,,,0
01643,,,0
01972,,,0
01527,,,0
01912,,,0
02040,,,0
01548,,,0
01614,,,0
01630,,,0
01827,,,0
01685,,,0
01829,,,0
01627,,,0
01725,,,0
01377,,,0
01592,,,0
01167,,,0
01822,,,0
01980,,,0
01708,,,0
01328,,,0
01998,,,0
01696,,,0
01996,,,0
01900,,,0
01765,,,0
01821,,,0
02090,,,0
02017,,,0
01293,,,0
01908,,,0
01737,,,0
01605,,,0
01607,,,0
01691,,,0
01709,,,0
01296,,,0
01865,,,0
02133,,,0
01400,,,0
02002,,,0
01894,,,0
02067,,,0
02120,,,0
01664,,,0
01835,,,0
01237,,,0
02128,,,0
01654,,,0
01606,,,0
02062,,,0
01678,,,0
01963,,,0
01712,,,0
01625,,,0
01681,,,0
01572,,,0
01431,,,0
01491,,,0
01384,,,0
01923,,,0
01061,,,0
01566,,,0
01955,,,0
01092,,,0
01785,,,0
01045,,,0
01042,,,0
01585,,,0
01968,,,0
01960,,,0
02051,,,0
01484,,,0
02053,,,0
01810,,,0
01260,,,0
01323,,,0
01334,,,0
01747,,,0
01870,,,0
01235,,,0
01597,,,0
01616,,,0
01805,,,0
01806,,,0
02027,,,0
01716,,,0
01816,,,0
01934,,,0
01838,,,0
01503,,,0
01949,,,0
01230,,,0
02104,,,0
01257,,,0
01706,,,0
01159,,,0
01517,,,0
01798,,,0
01881,,,0
01262,,,0
01596,,,0
01796,,,0
01090,,,0
01306,,,0
01953,,,0
01726,,,0
01234,,,0
01194,,,0
02115,,,0
01792,,,0
01618,,,0
01256,,,0
01213,,,0
02069,,,0
01589,,,0
01679,,,0
01076,,,0
01441,,,0
01988,,,0
01394,,,0
01882,,,0
01697,,,0
01735,,,0
01939,,,0
01404,,,0
02001,,,0
01365,,,0
01079,,,0
01395,,,0
02132,,,0
01811,,,0
01426,,,0
01559,,,0
01552,,,0
01490,,,0
01698,,,0
01646,,,0
01360,,,0
02012,,,0
01973,,,0
02003,,,0
02000,,,0
01941,,,0
02061,,,0
01507,,,0
02007,,,0
01413,,,0
01121,,,0
01332,,,0
01496,,,0
01538,,,0
01604,,,0
01932,,,0
01324,,,0
01760,,,0
01699,,,0
01571,,,0
01500,,,0
01344,,,0
01766,,,0
01438,,,0
01146,,,0
01221,,,0
01521,,,0
01238,,,0
02108,,,0
01102,,,0
01066,,,0
01864,,,0
01570,,,0
01191,,,0
01871,,,0
01122,,,0
01228,,,0
02022,,,0
01719,,,0
01598,,,0
01799,,,0
01041,,,0
01416,,,0
01165,,,0
01232,,,0
01147,,,0
01397,,,0
01680,,,0
01459,,,0
01951,,,0
01660,,,0
01281,,,0
01926,,,0
02028,,,0
01734,,,0
01453,,,0
01687,,,0
01098,,,0
02039,,,0
01845,,,0
02130,,,0
02060,,,0
01537,,,0
01890,,,0
01254,,,0
01132,,,0
01476,,,0
02026,,,0
01536,,,0
01265,,,0
01130,,,0
01171,,,0
01783,,,0
01921,,,0
01702,,,0
01929,,,0
01723,,,0
01768,,,0
01311,,,0
01931,,,0
01603,,,0
01282,,,0
01761,,,0
02080,,,0
01910,,,0
01840,,,0
01720,,,0
01849,,,0
01581,,,0
01781,,,0
01975,,,0
01529,,,0
01617,,,0
01462,,,0
01666,,,0
01439,,,0
01204,,,0
01690,,,0
01763,,,0
02046,,,0
01211,,,0
01714,,,0
01339,,,0
01465,,,0
01195,,,0
01906,,,0
01819,,,0
01653,,,0
02137,,,0
01780,,,0
01425,,,0
02004,,,0
01550,,,0
01967,,,0
01825,,,0
01355,,,0
01732,,,0
01049,,,0
01853,,,0
01134,,,0
01433,,,0
01793,,,0
01652,,,0
01250,,,0
01750,,,0
02092,,,0
01445,,,0
01236,,,0
01434,,,0
02016,,,0
02121,,,0
01800,,,0
01564,,,0
01593,,,0
01137,,,0
01569,,,0
01883,,,0
01501,,,0
01563,,,0
01880,,,0
01301,,,0
01218,,,0
01088,,,0
01590,,,0
01828,,,0
01983,,,0
01429,,,0
01366,,,0
01138,,,0
01918,,,0
01315,,,0
01621,,,0
01379,,,0
01631,,,0
02099,,,0
02136,,,0
01259,,,0
01942,,,0
01544,,,0
01991,,,0
01269,,,0
01770,,,0
01197,,,0
01307,,,0
01399,,,0
01464,,,0
01477,,,0
01622,,,0
01305,,,0
01992,,,0
01872,,,0
01645,,,0
02126,,,0
01710,,,0
01419,,,0
01240,,,0
01739,,,0
01189,,,0
02041,,,0
01961,,,0
01196,,,0
02135,,,0
01080,,,0
02050,,,0
01542,,,0
01156,,,0
01722,,,0
01812,,,0
02019,,,0
01085,,,0
02063,,,0
01657,,,0
01103,,,0
01277,,,0
01568,,,0
02024,,,0
01970,,,0
01446,,,0
01449,,,0
01219,,,0
01541,,,0
01227,,,0
01054,,,0
01393,,,0
02054,,,0
01420,,,0
01669,,,0
01177,,,0
01415,,,0
01583,,,0
02096,,,0
01473,,,0
01971,,,0
01852,,,0
02011,,,0
01320,,,0
01322,,,0
01609,,,0
01286,,,0
01192,,,0
01842,,,0
01505,,,0
01683,,,0
01628,,,0
01136,,,0
02079,,,0
01070,,,0
01860,,,0
01319,,,0
01632,,,0
01142,,,0
01046,,,0
01533,,,0
02033,,,0
01879,,,0
01580,,,0
01482,,,0
01116,,,0
01885,,,0
01994,,,0
01285,,,0
01357,,,0
01724,,,0
01255,,,0
01178,,,0
01791,,,0
01586,,,0
02139,,,0
01209,,,0
01611,,,0
01523,,,0
01074,,,0
01913,,,0
01131,,,0
02037,,,0
01050,,,0
02088,,,0
01388,,,0
01924,,,0
01043,,,0
01866,,,0
01640,,,0
01584,,,0
01499,,,0
01309,,,0
01663,,,0
01073,,,0
01578,,,0
01976,,,0
01574,,,0
02064,,,0
01175,,,0
01486,,,0
01436,,,0
01224,,,0
01917,,,0
01452,,,0
02029,,,0
01284,,,0
